t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,localmap_n,raw_n,tf_ok,pose_age_s,icp_fail_n
63.202,0.002411,-0.000365,-0.000576,-0.000,0.9889,17.206,5.301,1747,86400,1,0.162,0
63.620,0.003165,-0.001013,-0.001813,-0.001,0.9910,17.266,6.409,1747,86400,1,0.083,0
64.020,0.003097,-0.002107,-0.002028,0.013,0.9854,16.442,6.078,1747,82656,1,0.078,0
64.420,0.003097,-0.002107,-0.002028,0.013,0.9854,17.211,5.932,1747,86400,1,0.478,0
64.825,0.002573,-0.001107,-0.000764,0.017,0.9865,15.887,4.494,1747,86400,1,0.192,0
65.229,0.002747,-0.000760,0.000463,-0.001,0.9864,17.118,4.144,1747,86400,1,0.304,0
65.630,0.002815,-0.001250,-0.000625,0.005,0.9888,18.124,4.198,1747,86400,1,0.107,0
66.070,0.003835,-0.001067,-0.001496,0.005,0.9831,15.523,5.740,1747,86304,1,0.141,0
66.474,0.003590,-0.001251,-0.001217,0.015,0.9863,16.889,5.794,1747,86400,1,0.041,0
66.877,0.002163,-0.001004,-0.000688,0.009,0.9886,20.345,5.692,1747,86400,1,0.019,0
67.278,0.001845,-0.001104,-0.001586,0.017,0.9899,16.077,6.689,1747,86400,1,0.110,0
67.699,0.003562,-0.001683,-0.001461,0.014,0.9921,15.570,6.741,1747,86400,1,0.168,0
68.121,0.002928,-0.000640,-0.000019,0.013,0.9864,17.606,6.857,1747,86304,1,0.094,0
68.522,0.002740,-0.001081,-0.002409,0.013,0.9877,16.301,7.280,1747,86400,1,0.098,0
68.922,0.003794,-0.001820,-0.002274,0.017,0.9855,10.901,6.353,1747,82656,1,0.066,0
69.330,0.004478,-0.001604,-0.000328,0.003,0.9864,16.698,5.850,1747,86400,1,0.090,0
69.768,0.003376,-0.001474,-0.000935,0.017,0.9771,19.682,4.700,1747,86400,1,0.134,0
70.200,0.002643,-0.001241,-0.000535,0.018,0.9876,13.704,4.180,1747,86400,1,0.054,0
70.624,0.003015,-0.000849,-0.001021,0.002,0.9932,14.448,3.331,1747,86400,1,0.268,0
71.026,0.003453,-0.001493,-0.000619,0.007,0.9844,14.230,4.424,1747,82656,1,0.204,0
71.471,0.002862,-0.000211,-0.001680,0.010,0.9834,22.635,4.983,1747,86400,1,0.232,0
71.873,0.002964,-0.000959,-0.000988,0.013,0.9944,18.489,5.309,1747,86400,1,0.135,0
72.273,0.003628,-0.001783,-0.000950,0.021,0.9877,19.777,5.029,1747,82656,1,0.127,0
72.695,0.004070,-0.002513,-0.000131,0.036,0.9852,17.233,5.295,1747,86400,1,0.264,0
